Commodities,City,Date,Price
Bawang Merah,kab-sintang,2020-07-13,39050
Bawang Merah,kab-sintang,2020-08-13,33000
Bawang Merah,kab-sintang,2020-10-13,33350
Bawang Merah,kab-sintang,2020-11-13,38350
Bawang Merah,kab-sintang,2020-01-14,37350
Bawang Merah,kab-sintang,2020-02-14,40450
Bawang Merah,kab-sintang,2020-04-14,43100
Bawang Merah,kab-sintang,2020-05-14,52200
Bawang Merah,kab-sintang,2020-07-14,38400
Bawang Merah,kab-sintang,2020-08-14,33000
Bawang Merah,kab-sintang,2020-09-14,31100
Bawang Merah,kab-sintang,2020-10-14,33700
Bawang Merah,kab-sintang,2020-12-14,37100
Bawang Merah,kab-sintang,2020-01-15,37250
Bawang Merah,kab-sintang,2020-04-15,43200
Bawang Merah,kab-sintang,2020-05-15,52450
Bawang Merah,kab-sintang,2020-06-15,53050
Bawang Merah,kab-sintang,2020-07-15,38050
Bawang Merah,kab-sintang,2020-09-15,31100
Bawang Merah,kab-sintang,2020-10-15,33850
Bawang Merah,kab-sintang,2020-12-15,37000
Bawang Merah,kab-sintang,2020-01-16,37300
Bawang Merah,kab-sintang,2020-03-16,37750
Bawang Merah,kab-sintang,2020-04-16,43050
Bawang Merah,kab-sintang,2020-06-16,51900
Bawang Merah,kab-sintang,2020-07-16,37750
Bawang Merah,kab-sintang,2020-09-16,31050
Bawang Merah,kab-sintang,2020-10-16,34000
Bawang Merah,kab-sintang,2020-11-16,38450
Bawang Merah,kab-sintang,2020-12-16,36850
Bawang Merah,kab-sintang,2020-01-17,37350
Bawang Merah,kab-sintang,2020-02-17,39650
Bawang Merah,kab-sintang,2020-03-17,37800
Bawang Merah,kab-sintang,2020-04-17,43050
Bawang Merah,kab-sintang,2020-06-17,50800
Bawang Merah,kab-sintang,2020-07-17,37350
Bawang Merah,kab-sintang,2020-08-17,29150
Bawang Merah,kab-sintang,2020-09-17,31050
Bawang Merah,kab-sintang,2020-11-17,38450
Bawang Merah,kab-sintang,2020-12-17,36400
Bawang Merah,kab-sintang,2020-02-18,39550
Bawang Merah,kab-sintang,2020-03-18,37900
Bawang Merah,kab-sintang,2020-05-18,54300
Bawang Merah,kab-sintang,2020-06-18,50600
Bawang Merah,kab-sintang,2020-08-18,32400
Bawang Merah,kab-sintang,2020-09-18,30950
Bawang Merah,kab-sintang,2020-11-18,38300
Bawang Merah,kab-sintang,2020-12-18,36700
Bawang Merah,kab-sintang,2020-02-19,39700
Bawang Merah,kab-sintang,2020-03-19,37850
Bawang Merah,kab-sintang,2020-05-19,55150
Bawang Merah,kab-sintang,2020-06-19,50150
Bawang Merah,kab-sintang,2020-08-19,32200
Bawang Merah,kab-sintang,2020-10-19,34300
Bawang Merah,kab-sintang,2020-11-19,38350
Bawang Merah,kab-sintang,2020-01-20,37500
Bawang Merah,kab-sintang,2020-02-20,39450
Bawang Merah,kab-sintang,2020-03-20,37700
Bawang Merah,kab-sintang,2020-04-20,43750
Bawang Merah,kab-sintang,2020-05-20,56100
Bawang Merah,kab-sintang,2020-07-20,36000
Bawang Merah,kab-sintang,2020-08-20,42350
Bawang Merah,kab-sintang,2020-10-20,34500
Bawang Merah,kab-sintang,2020-11-20,38450
Bawang Merah,kab-sintang,2020-01-21,37500
Bawang Merah,kab-sintang,2020-02-21,38900
Bawang Merah,kab-sintang,2020-04-21,43850
Bawang Merah,kab-sintang,2020-05-21,58850
Bawang Merah,kab-sintang,2020-07-21,35850
Bawang Merah,kab-sintang,2020-08-21,31650
Bawang Merah,kab-sintang,2020-09-21,30850
Bawang Merah,kab-sintang,2020-10-21,34550
Bawang Merah,kab-sintang,2020-12-21,36150
Bawang Merah,kab-sintang,2020-01-22,37600
Bawang Merah,kab-sintang,2020-04-22,44200
Bawang Merah,kab-sintang,2020-05-22,56800
Bawang Merah,kab-sintang,2020-06-22,48450
Bawang Merah,kab-sintang,2020-07-22,35600
Bawang Merah,kab-sintang,2020-09-22,30800
Bawang Merah,kab-sintang,2020-10-22,34600
Bawang Merah,kab-sintang,2020-12-22,36000
Bawang Merah,kab-sintang,2020-01-23,37600
Bawang Merah,kab-sintang,2020-03-23,38900
Bawang Merah,kab-sintang,2020-04-23,44700
Bawang Merah,kab-sintang,2020-06-23,47650
Bawang Merah,kab-sintang,2020-07-23,35400
Bawang Merah,kab-sintang,2020-09-23,30700
Bawang Merah,kab-sintang,2020-10-23,34700
Bawang Merah,kab-sintang,2020-11-23,38300
Bawang Merah,kab-sintang,2020-12-23,35850
Bawang Merah,kab-sintang,2020-01-24,37500
Bawang Merah,kab-sintang,2020-02-24,38050
Bawang Merah,kab-sintang,2020-03-24,39100
Bawang Merah,kab-sintang,2020-04-24,44750
Bawang Merah,kab-sintang,2020-06-24,47550
Bawang Merah,kab-sintang,2020-07-24,35050
Bawang Merah,kab-sintang,2020-08-24,31350
Bawang Merah,kab-sintang,2020-09-24,30700
Bawang Merah,kab-sintang,2020-11-24,38150
Bawang Merah,kab-sintang,2020-12-24,47200
Bawang Merah,kab-sintang,2020-02-25,37700
Bawang Merah,kab-sintang,2020-03-25,39050
Bawang Merah,kab-sintang,2020-05-25,53150
Bawang Merah,kab-sintang,2020-06-25,47100
Bawang Merah,kab-sintang,2020-08-25,31050
Bawang Merah,kab-sintang,2020-09-25,30700
Bawang Merah,kab-sintang,2020-11-25,38100
Bawang Merah,kab-sintang,2020-12-25,38100
Bawang Merah,kab-sintang,2020-02-26,37450
Bawang Merah,kab-sintang,2020-03-26,39650
Bawang Merah,kab-sintang,2020-05-26,57250
Bawang Merah,kab-sintang,2020-06-26,46600
Bawang Merah,kab-sintang,2020-08-26,30900
Bawang Merah,kab-sintang,2020-10-26,35200
Bawang Merah,kab-sintang,2020-11-26,38000
Bawang Merah,kab-sintang,2020-01-27,38000
Bawang Merah,kab-sintang,2020-02-27,37450
Bawang Merah,kab-sintang,2020-03-27,39900
Bawang Merah,kab-sintang,2020-04-27,45500
Bawang Merah,kab-sintang,2020-05-27,57250
Bawang Merah,kab-sintang,2020-07-27,34250
Bawang Merah,kab-sintang,2020-08-27,30650
Bawang Merah,kab-sintang,2020-10-27,35250
Bawang Merah,kab-sintang,2020-11-27,37850
Bawang Merah,kab-sintang,2020-01-28,38150
Bawang Merah,kab-sintang,2020-02-28,37150
Bawang Merah,kab-sintang,2020-04-28,45550
Bawang Merah,kab-sintang,2020-05-28,57600
Bawang Merah,kab-sintang,2020-07-28,34000
Bawang Merah,kab-sintang,2020-08-28,30600
Bawang Merah,kab-sintang,2020-09-28,30450
Bawang Merah,kab-sintang,2020-10-28,35300
Bawang Merah,kab-sintang,2020-12-28,35100
Bawang Merah,kab-sintang,2020-01-29,38400
Bawang Merah,kab-sintang,2020-04-29,45800
Bawang Merah,kab-sintang,2020-05-29,58550
Bawang Merah,kab-sintang,2020-06-29,45000
Bawang Merah,kab-sintang,2020-07-29,33750
Bawang Merah,kab-sintang,2020-09-29,30350
Bawang Merah,kab-sintang,2020-10-29,39250
Bawang Merah,kab-sintang,2020-12-29,34950
Bawang Merah,kab-sintang,2020-01-30,38650
Bawang Merah,kab-sintang,2020-03-30,40500
Bawang Merah,kab-sintang,2020-04-30,46300
Bawang Merah,kab-sintang,2020-06-30,44550
Bawang Merah,kab-sintang,2020-07-30,33750
Bawang Merah,kab-sintang,2020-09-30,30300
Bawang Merah,kab-sintang,2020-10-30,37700
Bawang Merah,kab-sintang,2020-11-30,37750
Bawang Merah,kab-sintang,2020-12-30,34650
Bawang Merah,kab-sintang,2020-01-31,38850
Bawang Merah,kab-sintang,2020-03-31,41050
Bawang Merah,kab-sintang,2020-07-31,52500
Bawang Merah,kab-sintang,2020-08-31,30450
Bawang Merah,kab-sintang,2020-12-31,38700
Bawang Putih,kab-sintang,2020-01-01,45200
Bawang Putih,kab-sintang,2020-04-01,45200
Bawang Putih,kab-sintang,2020-05-01,44500
Bawang Putih,kab-sintang,2020-06-01,33400
Bawang Putih,kab-sintang,2020-07-01,25250
Bawang Putih,kab-sintang,2020-09-01,26250
Bawang Putih,kab-sintang,2020-10-01,26500
Bawang Putih,kab-sintang,2020-12-01,28800
Bawang Putih,kab-sintang,2020-01-02,32650
Bawang Putih,kab-sintang,2020-03-02,46100
Bawang Putih,kab-sintang,2020-04-02,45300
Bawang Putih,kab-sintang,2020-06-02,32500
Bawang Putih,kab-sintang,2020-07-02,24850
Bawang Putih,kab-sintang,2020-09-02,26250
Bawang Putih,kab-sintang,2020-10-02,26550
Bawang Putih,kab-sintang,2020-11-02,27800
Bawang Putih,kab-sintang,2020-12-02,28750
Bawang Putih,kab-sintang,2020-01-03,32850
Bawang Putih,kab-sintang,2020-02-03,44650
Bawang Putih,kab-sintang,2020-03-03,46000
Bawang Putih,kab-sintang,2020-04-03,45250
Bawang Putih,kab-sintang,2020-06-03,31950
Bawang Putih,kab-sintang,2020-07-03,24850
Bawang Putih,kab-sintang,2020-08-03,22650
Bawang Putih,kab-sintang,2020-09-03,26300
Bawang Putih,kab-sintang,2020-11-03,27900
Bawang Putih,kab-sintang,2020-12-03,28750
Bawang Putih,kab-sintang,2020-02-04,46900
Bawang Putih,kab-sintang,2020-03-04,45750
Bawang Putih,kab-sintang,2020-05-04,38700
Bawang Putih,kab-sintang,2020-06-04,31800
Bawang Putih,kab-sintang,2020-08-04,22700
Bawang Putih,kab-sintang,2020-09-04,26350
Bawang Putih,kab-sintang,2020-11-04,27900
Bawang Putih,kab-sintang,2020-12-04,28750
Bawang Putih,kab-sintang,2020-02-05,49850
Bawang Putih,kab-sintang,2020-03-05,45650
Bawang Putih,kab-sintang,2020-05-05,38300
Bawang Putih,kab-sintang,2020-06-05,31400
Bawang Putih,kab-sintang,2020-08-05,22600
Bawang Putih,kab-sintang,2020-10-05,26600
Bawang Putih,kab-sintang,2020-11-05,27950
Bawang Putih,kab-sintang,2020-01-06,33100
Bawang Putih,kab-sintang,2020-02-06,51800
Bawang Putih,kab-sintang,2020-03-06,45550
Bawang Putih,kab-sintang,2020-04-06,45200
Bawang Putih,kab-sintang,2020-05-06,38100
Bawang Putih,kab-sintang,2020-07-06,24750
Bawang Putih,kab-sintang,2020-08-06,22600
Bawang Putih,kab-sintang,2020-10-06,26700
Bawang Putih,kab-sintang,2020-11-06,28100
Bawang Putih,kab-sintang,2020-01-07,33350
Bawang Putih,kab-sintang,2020-02-07,53800
Bawang Putih,kab-sintang,2020-04-07,45250
Bawang Putih,kab-sintang,2020-05-07,44650
Bawang Putih,kab-sintang,2020-07-07,24300
Bawang Putih,kab-sintang,2020-08-07,22650
Bawang Putih,kab-sintang,2020-09-07,26450
Bawang Putih,kab-sintang,2020-10-07,26650
Bawang Putih,kab-sintang,2020-12-07,28700
Bawang Putih,kab-sintang,2020-01-08,33400
Bawang Putih,kab-sintang,2020-04-08,45000
Bawang Putih,kab-sintang,2020-05-08,37750
Bawang Putih,kab-sintang,2020-06-08,30650
Bawang Putih,kab-sintang,2020-07-08,24200
Bawang Putih,kab-sintang,2020-09-08,26450
Bawang Putih,kab-sintang,2020-10-08,26600
Bawang Putih,kab-sintang,2020-12-08,28700
Bawang Putih,kab-sintang,2020-01-09,33700
Bawang Putih,kab-sintang,2020-03-09,45000
Bawang Putih,kab-sintang,2020-04-09,44850
Bawang Putih,kab-sintang,2020-06-09,30250
Bawang Putih,kab-sintang,2020-07-09,23900
Bawang Putih,kab-sintang,2020-09-09,26500
Bawang Putih,kab-sintang,2020-10-09,26550
Bawang Putih,kab-sintang,2020-11-09,28200
Bawang Putih,kab-sintang,2020-12-09,34400
Bawang Putih,kab-sintang,2020-01-10,34050
Bawang Putih,kab-sintang,2020-02-10,55500
Bawang Putih,kab-sintang,2020-03-10,44900
Bawang Putih,kab-sintang,2020-04-10,45300
Bawang Putih,kab-sintang,2020-06-10,29850
Bawang Putih,kab-sintang,2020-07-10,24200
Bawang Putih,kab-sintang,2020-08-10,22750
Bawang Putih,kab-sintang,2020-09-10,26600
Bawang Putih,kab-sintang,2020-11-10,28250
Bawang Putih,kab-sintang,2020-12-10,28750
Bawang Putih,kab-sintang,2020-02-11,55700
Bawang Putih,kab-sintang,2020-03-11,44600
Bawang Putih,kab-sintang,2020-05-11,37050
Bawang Putih,kab-sintang,2020-06-11,29400
Bawang Putih,kab-sintang,2020-08-11,22900
Bawang Putih,kab-sintang,2020-09-11,26650
Bawang Putih,kab-sintang,2020-11-11,28300
Bawang Putih,kab-sintang,2020-12-11,28750
Bawang Putih,kab-sintang,2020-02-12,55300
Bawang Putih,kab-sintang,2020-03-12,44450
Bawang Putih,kab-sintang,2020-05-12,36950
Bawang Putih,kab-sintang,2020-06-12,29250
Bawang Putih,kab-sintang,2020-08-12,23000
Bawang Putih,kab-sintang,2020-10-12,26750
Bawang Putih,kab-sintang,2020-11-12,28400
Bawang Putih,kab-sintang,2020-01-13,34450
Bawang Putih,kab-sintang,2020-02-13,55100
Bawang Putih,kab-sintang,2020-03-13,44500
Bawang Putih,kab-sintang,2020-04-13,43800
Bawang Putih,kab-sintang,2020-05-13,36800
Bawang Putih,kab-sintang,2020-07-13,23500
Bawang Putih,kab-sintang,2020-08-13,23000
Bawang Putih,kab-sintang,2020-10-13,26750
Bawang Putih,kab-sintang,2020-11-13,28500
Bawang Putih,kab-sintang,2020-01-14,34850
Bawang Putih,kab-sintang,2020-02-14,54450
Bawang Putih,kab-sintang,2020-04-14,43600
Bawang Putih,kab-sintang,2020-05-14,36400
Bawang Putih,kab-sintang,2020-07-14,23500
Bawang Putih,kab-sintang,2020-08-14,22950
Bawang Putih,kab-sintang,2020-09-14,26600
Bawang Putih,kab-sintang,2020-10-14,26750
Bawang Putih,kab-sintang,2020-12-14,28650
Bawang Putih,kab-sintang,2020-01-15,35050
Bawang Putih,kab-sintang,2020-04-15,43150
Bawang Putih,kab-sintang,2020-05-15,36100
Bawang Putih,kab-sintang,2020-06-15,28050
Bawang Putih,kab-sintang,2020-07-15,23350
Bawang Putih,kab-sintang,2020-09-15,26800
Bawang Putih,kab-sintang,2020-10-15,26700
Bawang Putih,kab-sintang,2020-12-15,28650
Bawang Putih,kab-sintang,2020-01-16,35150
Bawang Putih,kab-sintang,2020-03-16,44100
Bawang Putih,kab-sintang,2020-04-16,42850
Bawang Putih,kab-sintang,2020-06-16,28000
Bawang Putih,kab-sintang,2020-07-16,23150
Bawang Putih,kab-sintang,2020-09-16,26800
Bawang Putih,kab-sintang,2020-10-16,26800
Bawang Putih,kab-sintang,2020-11-16,28650
Bawang Putih,kab-sintang,2020-12-16,28650
Bawang Putih,kab-sintang,2020-01-17,35350
Bawang Putih,kab-sintang,2020-02-17,51700
Bawang Putih,kab-sintang,2020-03-17,44250
Bawang Putih,kab-sintang,2020-04-17,42600
Bawang Putih,kab-sintang,2020-06-17,27700
Bawang Putih,kab-sintang,2020-07-17,23100
Bawang Putih,kab-sintang,2020-08-17,24250
Bawang Putih,kab-sintang,2020-09-17,26850
Bawang Putih,kab-sintang,2020-11-17,28600
Bawang Putih,kab-sintang,2020-12-17,28650
Bawang Putih,kab-sintang,2020-02-18,50800
Bawang Putih,kab-sintang,2020-03-18,44400
Bawang Putih,kab-sintang,2020-05-18,35100
Bawang Putih,kab-sintang,2020-06-18,27800
Bawang Putih,kab-sintang,2020-08-18,23750
Bawang Putih,kab-sintang,2020-09-18,26800
Bawang Putih,kab-sintang,2020-11-18,28750
Bawang Putih,kab-sintang,2020-12-18,28650
Bawang Putih,kab-sintang,2020-02-19,50100
Bawang Putih,kab-sintang,2020-03-19,44300
Bawang Putih,kab-sintang,2020-05-19,34800
Bawang Putih,kab-sintang,2020-06-19,27650
Bawang Putih,kab-sintang,2020-08-19,23950
Bawang Putih,kab-sintang,2020-10-19,26850
Bawang Putih,kab-sintang,2020-11-19,28750
Bawang Putih,kab-sintang,2020-01-20,35550
Bawang Putih,kab-sintang,2020-02-20,49600
Bawang Putih,kab-sintang,2020-03-20,44400
Bawang Putih,kab-sintang,2020-04-20,41500
Bawang Putih,kab-sintang,2020-05-20,34500
Bawang Putih,kab-sintang,2020-07-20,23050
Bawang Putih,kab-sintang,2020-08-20,30550
Bawang Putih,kab-sintang,2020-10-20,27000
Bawang Putih,kab-sintang,2020-11-20,28750
Bawang Putih,kab-sintang,2020-01-21,35600
Bawang Putih,kab-sintang,2020-02-21,48800
Bawang Putih,kab-sintang,2020-04-21,41100
Bawang Putih,kab-sintang,2020-05-21,32850
Bawang Putih,kab-sintang,2020-07-21,23050
Bawang Putih,kab-sintang,2020-08-21,24000
Bawang Putih,kab-sintang,2020-09-21,26750
Bawang Putih,kab-sintang,2020-10-21,27150
Bawang Putih,kab-sintang,2020-12-21,28450
Bawang Putih,kab-sintang,2020-01-22,35650
Bawang Putih,kab-sintang,2020-04-22,40700
Bawang Putih,kab-sintang,2020-05-22,32950
Bawang Putih,kab-sintang,2020-06-22,27200
Bawang Putih,kab-sintang,2020-07-22,23000
Bawang Putih,kab-sintang,2020-09-22,26750
Bawang Putih,kab-sintang,2020-10-22,27100
Bawang Putih,kab-sintang,2020-12-22,28550
Bawang Putih,kab-sintang,2020-01-23,35700
Bawang Putih,kab-sintang,2020-03-23,44500
Bawang Putih,kab-sintang,2020-04-23,40650
Bawang Putih,kab-sintang,2020-06-23,26800
Bawang Putih,kab-sintang,2020-07-23,23000
Bawang Putih,kab-sintang,2020-09-23,26600
Bawang Putih,kab-sintang,2020-10-23,27200
Bawang Putih,kab-sintang,2020-11-23,28800
Bawang Putih,kab-sintang,2020-12-23,28500
Bawang Putih,kab-sintang,2020-01-24,35700
Bawang Putih,kab-sintang,2020-02-24,47700
Bawang Putih,kab-sintang,2020-03-24,44700
Bawang Putih,kab-sintang,2020-04-24,40500
Bawang Putih,kab-sintang,2020-06-24,26500
Bawang Putih,kab-sintang,2020-07-24,22850
Bawang Putih,kab-sintang,2020-08-24,24850
Bawang Putih,kab-sintang,2020-09-24,26550
Bawang Putih,kab-sintang,2020-11-24,28850
Bawang Putih,kab-sintang,2020-12-24,38750
Bawang Putih,kab-sintang,2020-02-25,47300
Bawang Putih,kab-sintang,2020-03-25,43950
Bawang Putih,kab-sintang,2020-05-25,35750
Bawang Putih,kab-sintang,2020-06-25,26450
Bawang Putih,kab-sintang,2020-08-25,25100
Bawang Putih,kab-sintang,2020-09-25,26600
Bawang Putih,kab-sintang,2020-11-25,28850
Bawang Putih,kab-sintang,2020-12-25,28850
Bawang Putih,kab-sintang,2020-02-26,46900
Bawang Putih,kab-sintang,2020-03-26,44450
Bawang Putih,kab-sintang,2020-05-26,34450
Bawang Putih,kab-sintang,2020-06-26,31500
Bawang Putih,kab-sintang,2020-08-26,25400
Bawang Putih,kab-sintang,2020-10-26,27300
Bawang Putih,kab-sintang,2020-11-26,28900
Bawang Putih,kab-sintang,2020-01-27,35850
Bawang Putih,kab-sintang,2020-02-27,46850
Bawang Putih,kab-sintang,2020-03-27,44600
Bawang Putih,kab-sintang,2020-04-27,40000
Bawang Putih,kab-sintang,2020-05-27,34200
Bawang Putih,kab-sintang,2020-07-27,22800
Bawang Putih,kab-sintang,2020-08-27,25750
Bawang Putih,kab-sintang,2020-10-27,27350
Bawang Putih,kab-sintang,2020-11-27,28800
Bawang Putih,kab-sintang,2020-01-28,36000
Bawang Putih,kab-sintang,2020-02-28,46500
Bawang Putih,kab-sintang,2020-04-28,39700
Bawang Putih,kab-sintang,2020-05-28,33950
Bawang Putih,kab-sintang,2020-07-28,22850
Bawang Putih,kab-sintang,2020-08-28,25950
Bawang Putih,kab-sintang,2020-09-28,26600
Bawang Putih,kab-sintang,2020-10-28,29050
Bawang Putih,kab-sintang,2020-12-28,28650
Bawang Putih,kab-sintang,2020-01-29,36100
Bawang Putih,kab-sintang,2020-04-29,39550
Bawang Putih,kab-sintang,2020-05-29,33650
Bawang Putih,kab-sintang,2020-06-29,25550
Bawang Putih,kab-sintang,2020-07-29,22850
Bawang Putih,kab-sintang,2020-09-29,26550
Bawang Putih,kab-sintang,2020-10-29,31400
Bawang Putih,kab-sintang,2020-12-29,28600
Bawang Putih,kab-sintang,2020-01-30,36250
Bawang Putih,kab-sintang,2020-03-30,44950
Bawang Putih,kab-sintang,2020-04-30,39250
Bawang Putih,kab-sintang,2020-06-30,25400
Bawang Putih,kab-sintang,2020-07-30,22900
Bawang Putih,kab-sintang,2020-09-30,26550
Bawang Putih,kab-sintang,2020-10-30,30450
Bawang Putih,kab-sintang,2020-11-30,28800
Bawang Putih,kab-sintang,2020-12-30,28700
Bawang Putih,kab-sintang,2020-01-31,36450
Bawang Putih,kab-sintang,2020-03-31,45100
Bawang Putih,kab-sintang,2020-07-31,35000
Bawang Putih,kab-sintang,2020-08-31,26050
Bawang Putih,kab-sintang,2020-12-31,28500
Beras,kab-sintang,2020-01-01,11900
Beras,kab-sintang,2020-04-01,11900
Beras,kab-sintang,2020-05-01,12350
Beras,kab-sintang,2020-06-01,11500
Beras,kab-sintang,2020-07-01,11850
Beras,kab-sintang,2020-09-01,11850
Beras,kab-sintang,2020-10-01,11800
Beras,kab-sintang,2020-12-01,11800
Beras,kab-sintang,2020-01-02,11800
Beras,kab-sintang,2020-03-02,11850
Beras,kab-sintang,2020-04-02,11900
Beras,kab-sintang,2020-06-02,11900
Beras,kab-sintang,2020-07-02,11850
Beras,kab-sintang,2020-09-02,11800
Beras,kab-sintang,2020-10-02,11800
Beras,kab-sintang,2020-11-02,11800
Beras,kab-sintang,2020-12-02,11800
Beras,kab-sintang,2020-01-03,11850
Beras,kab-sintang,2020-02-03,11850
Beras,kab-sintang,2020-03-03,11850
Beras,kab-sintang,2020-04-03,11900
Beras,kab-sintang,2020-06-03,11900
Beras,kab-sintang,2020-07-03,11850
Beras,kab-sintang,2020-08-03,11850
Beras,kab-sintang,2020-09-03,11850
Beras,kab-sintang,2020-11-03,11800
Beras,kab-sintang,2020-12-03,11800
Beras,kab-sintang,2020-02-04,11850
Beras,kab-sintang,2020-03-04,11850
Beras,kab-sintang,2020-05-04,11900
Beras,kab-sintang,2020-06-04,11900
Beras,kab-sintang,2020-08-04,11850
Beras,kab-sintang,2020-09-04,11800
Beras,kab-sintang,2020-11-04,11800
Beras,kab-sintang,2020-12-04,11800
Beras,kab-sintang,2020-02-05,11850
Beras,kab-sintang,2020-03-05,11850
Beras,kab-sintang,2020-05-05,11900
Beras,kab-sintang,2020-06-05,11900
Beras,kab-sintang,2020-08-05,11850
Beras,kab-sintang,2020-10-05,11800
